country,total_number
Afghanistan,131621367
Albania,278477
Algeria,177098
Andorra,117
Angola,13017118
Anguilla,3
Antigua and Barbuda,586
Argentina,14980
Armenia,1834685
Australia,470
Austria,785
Azerbaijan,4065936
Bahamas,1775
Bahrain,3942
Bangladesh,504382
Barbados,899
Belarus,103612
Belgium,1126
Belize,488
Benin,7139
Bermuda,7
Bhutan,2135187
Bolivia (Plurinational State of),10476
Bosnia and Herzegovina,8379957
Botswana,1765
Brazil,15099
Brunei Darussalam,68
Bulgaria,78125
Burkina Faso,21359
Burundi,12649097
Cabo Verde,346
Cambodia,2126735
Cameroon,191158
Canada,1971
Cayman Islands,34
Central African Rep.,3300957
Chad,3290278
Chile,180975
China,3851097
"China, Hong Kong SAR",925
"China, Macao SAR",149
Colombia,4396238
Comoros,5237
Congo,421566
Cook Islands,8
Costa Rica,5461
Croatia,4191620
Cuba,466639
Curaçao,175
Cyprus,924
Czech Rep.,84001
Côte d'Ivoire,809840
Dem. People's Rep. of Korea,13274
Dem. Rep. of the Congo,11072889
Denmark,324
Djibouti,82026
Dominica,634
Dominican Rep.,4363
Ecuador,18040
Egypt,185149
El Salvador,2247796
Equatorial Guinea,513181
Eritrea,8503985
Estonia,13321
Ethiopia,23094128
Fiji,24165
Finland,113
France,2035
French Guiana,41
French Polynesia,2
Gabon,2354
Gambia,64609
Georgia,363976
Germany,9476
Ghana,427881
Gibraltar,16
Greece,7068
Grenada,3845
Guatemala,984998
Guinea,987991
Guinea-Bissau,208388
Guyana,8636
Haiti,549283
Holy See (the),2
Honduras,61380
Hungary,85335
Iceland,128
India,300207
Indonesia,468982
Iran (Islamic Rep. of),3012502
Iraq,26890069
Ireland,137
Israel,21711
Italy,2325
Jamaica,17590
Japan,2293
Jordan,35591
Kazakhstan,182521
Kenya,169205
Kiribati,359
Kuwait,20376
Kyrgyzstan,90706
Lao People's Dem. Rep.,2313562
Latvia,25371
Lebanon,441944
Lesotho,1111
Liberia,8433916
Libya,70213
Lithuania,12887
Luxembourg,13
Madagascar,4325
Malawi,39052
Malaysia,8080
Maldives,387
Mali,1435256
Malta,227
Marshall Islands,21
Martinique,3
Mauritania,1369199
Mauritius,1117
Mexico,112062
Monaco,30
Mongolia,23387
Montenegro,18776
Morocco,41171
Mozambique,8718777
Myanmar,7824535
Namibia,797277
Nauru,18
Nepal,84746
Netherlands,1351
New Zealand,219
Nicaragua,971361
Niger,105707
Nigeria,991980
Niue,105
Norfolk Island,3
Norway,139
Oman,673
Pakistan,1335768
Palau,8
Palestinian,4682821
Panama,5385
Papua New Guinea,7353
Paraguay,1514
Peru,139138
Philippines,1433792
Poland,307077
Portugal,1121
Puerto Rico,36
Qatar,892
Rep. of Korea,9146
Rep. of Moldova,126847
Romania,371518
Russian Federation,3569957
Rwanda,12859697
Saint Kitts and Nevis,236
Saint Lucia,7157
Saint Vincent and the Grenadines,14610
Saint-Pierre-et-Miquelon,1
Samoa,22
San Marino,35
Sao Tome and Principe,837
Saudi Arabia,11432
Senegal,524545
Serbia and Kosovo (S/RES/1244 (1999)),3613451
Seychelles,2084
Sierra Leone,4011778
Singapore,1197
Slovakia,8658
Slovenia,77863
Solomon Islands,1188
Somalia,19981191
South Africa,361116
South Sudan,5472996
Spain,5385
Sri Lanka,3604413
Sudan,15851297
Suriname,27827
Swaziland,1401
Sweden,587
Switzerland,771
Syrian Arab Rep.,24046584
Tajikistan,889860
Thailand,13395
The former Yugoslav Republic of Macedonia,150270
Tibetan,687972
Timor-Leste,386781
Togo,865224
Tonga,220
Trinidad and Tobago,3737
Tunisia,41435
Turkey,2666373
Turkmenistan,19879
Turks and Caicos Islands,107
Tuvalu,47
Uganda,2747154
Ukraine,1592573
United Arab Emirates,3463
United Kingdom,3106
United Rep. of Tanzania,25946
United States of America,37728
Uruguay,8503
Uzbekistan,384261
Vanuatu,8
Venezuela (Bolivarian Republic of),93263
Viet Nam,15154642
Western Sahara,5690093
Yemen,463346
Zambia,14727
Zimbabwe,772079
