country,value,Continent
Bolivia (Plurinational State of),90,South America
Western Sahara,20000,Africa
Czech Rep.,50,Europe
Tibetan,8200,Asia
Viet Nam,690,Asia
Dem. Rep. of the Congo,4500,Africa
Lao People's Dem. Rep.,55510,Asia
Serbia and Kosovo (S/RES/1244 (1999)),120,Europe
Palestinian,3200,Asia
United Rep. of Tanzania,90,Africa
Myanmar,160000,Asia
Dominican Rep.,50,North America
Syrian Arab Rep.,500,Asia
Iran (Islamic Rep. of),48,Asia
Stateless,8,
Central African Rep.,15000,Africa
Burkina Faso,50,Africa
Côte d'Ivoire,1,Africa
United States of America,1,North America
Rep. of Korea,5,Asia
Venezuela (Bolivarian Republic of),1,South America
Cabo Verde,1,Africa
French Guiana,5,South America
"China, Hong Kong SAR",2,Asia
Rep. of Moldova,2,Europe
The former Yugoslav Republic of Macedonia,2,Europe
Puerto Rico,12,North America
Dem. People's Rep. of Korea,2,Asia
Martinique,1,North America
Brunei Darussalam,3,Asia
"China, Macao SAR",1,Asia
Bermuda,1,North America
Timor-Leste,162472,Asia
Holy See (the),2,Europe
French Polynesia,1,Oceania
Turks and Caicos Islands,1,North America
Gibraltar,1,Europe
Cook Islands,1,Oceania
Cayman Islands,1,North America
Niue,7,Oceania
Curaçao,35,South America
British Virgin Islands,0,North America
Guadeloupe,0,North America
Anguilla,1,North America
Norfolk Island,1,Oceania
Wallis and Futuna Islands ,0,Oceania
Saint-Pierre-et-Miquelon,0,North America
Svalbard and Jan Mayen,0,Europe
Micronesia (Federated States of),0,Oceania
American Samoa,0,Oceania
Guam,0,Oceania
