Year,value
1975,1603840
1976,1798020
1977,2335095
1978,3209640
1979,4379520
1980,6862987
1981,7963920
1982,8527141
1983,8693711
1984,8989430
1985,9978931
1986,10278623
1987,10901029
1988,12100802
1989,12297951
1990,14827763
1991,14607187
1992,14704489
1993,14086491
1994,13950493
1995,12729618
1996,11944277
1997,10949566
1998,10410243
1999,10450396
2000,11010200
2001,11017296
2002,10304289
2003,9272687
2004,9222198
2005,8474779
2006,9630752
2007,11196868
2008,10299120
2009,10209854
2010,10382564
2011,10259756
2012,10365150
2013,11592072
2014,14284175
2015,15991153
2016,17048702
2017,19735396
